id,user_type,country,sector,energy_usage_kwh,transport_emissions_kg,diet_impact,carbon_offset_tons,renewable_energy_percentage,policy_incentives,emissions_tons,timestamp
1,Industry,USA,Power,45006.63471,161.6809048,Low,6.82963256,100,1,70.36154974,1628018262
2,Individual,India,Transport,37878.72218,127.1022893,High,2.705546641,100,0,63.12545868,1612425561
3,Business,Brazil,Power,44713.53765,68.53802768,Low,6.551178876,100,1,51.41411363,1638002117
4,Individual,USA,Residential,2050.285555,141.539107,Medium,6.622133693,25,1,61.38528736,1661746827
5,Business,India,Manufacturing,11520.49757,72.27096447,Low,7.353750902,50,1,50.30708763,1619399309
6,Industry,Brazil,IT,25663.92489,3.159352875,Low,7.671185596,25,1,67.02474378,1650839879
7,Business,India,Transport,15880.94134,30.53543886,Low,3.371118727,50,1,99.26435405,1620511524
8,Individual,China,Power,28745.53824,55.01199213,High,8.718200709,0,0,71.88386726,1648937428
9,Individual,UK,Residential,43598.74524,175.1314698,Medium,4.047369997,0,0,40.73332594,1627484615
10,Industry,USA,IT,43433.37446,9.837193983,Low,3.812577589,50,0,8.363398957,1636970035
11,Industry,India,Power,48961.6494,14.22795396,Medium,8.368447013,75,0,93.31361958,1644306753
12,Individual,India,Power,29813.68868,111.8841486,Low,3.639020078,75,1,90.42401563,1629146479
13,Business,China,IT,32171.49955,125.2382581,High,2.348135733,50,0,79.01722274,1637149732
14,Business,USA,Transport,31022.87688,28.2003287,High,9.018551508,75,0,55.96836148,1660711284
15,Industry,Germany,Power,44467.68472,126.8943664,High,2.616273916,0,0,64.20650895,1616190336
16,Business,UK,IT,10995.77422,190.507058,Medium,0.342702253,50,0,64.28897144,1649248783
17,Individual,USA,Manufacturing,37704.20462,19.84492762,Low,8.477617255,25,0,34.71768145,1659272003
18,Individual,Brazil,Power,29487.78291,66.21272268,Medium,5.082897899,100,0,92.73454479,1638631083
19,Industry,China,Transport,15709.79944,179.8158557,Medium,3.61804789,100,1,16.36750644,1664393565
20,Industry,USA,Transport,34823.00375,148.4502039,Medium,4.140290856,25,1,48.38128716,1653630522
21,Business,Germany,Agriculture,4541.464312,122.986162,High,7.429613246,0,1,9.12762866,1670270446
22,Individual,India,IT,23340.48785,166.7027181,Medium,3.850082419,25,0,23.30733327,1660167434
23,Individual,India,Manufacturing,34329.00144,196.0958122,Low,0.098715975,75,0,76.09806841,1654325742
24,Industry,UK,Residential,41835.96619,153.1943968,Low,9.071636524,100,0,9.285721518,1616819045
25,Industry,USA,Residential,48917.11497,149.8972635,Medium,4.950571368,75,0,74.49107825,1620668934
26,Business,China,Residential,3860.966028,5.667987569,Low,9.328807248,25,0,89.16523582,1640484090
27,Individual,China,IT,45053.97026,100.5714481,Low,7.786699202,50,1,13.30330301,1666183491
